DEBUG 2024-03-05 18:46:41,062 autoreload File C:\Users\bilim\Documents\backend\django\solution\SolutionEnterprise\solution\settings.py previous mtime: 1709660766.6378968, current mtime: 1709660800.9194796
DEBUG 2024-03-05 18:46:41,062 autoreload C:\Users\bilim\Documents\backend\django\solution\SolutionEnterprise\solution\settings.py notified as changed. Signal results: [(<function template_changed at 0x00000263FCAA8680>, None), (<function translation_file_changed at 0x00000263FF00C860>, None)].
INFO 2024-03-05 18:46:41,062 autoreload C:\Users\bilim\Documents\backend\django\solution\SolutionEnterprise\solution\settings.py changed, reloading.
INFO 2024-03-05 18:46:42,305 autoreload Watching for file changes with StatReloader
DEBUG 2024-03-05 18:46:42,305 autoreload Waiting for apps ready_event.
DEBUG 2024-03-05 18:46:42,313 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-03-05 18:46:42,335 autoreload Watching dir C:\Users\bilim\Documents\backend\django\solution\env\Lib\site-packages\compressor\templates with glob **/*.
DEBUG 2024-03-05 18:46:42,336 autoreload Watching dir C:\Users\bilim\Documents\backend\django\solution\SolutionEnterprise\templates with glob **/*.
DEBUG 2024-03-05 18:46:42,336 autoreload Watching dir C:\Users\bilim\Documents\backend\django\solution\env\Lib\site-packages\jazzmin\templates with glob **/*.
DEBUG 2024-03-05 18:46:42,336 autoreload Watching dir C:\Users\bilim\Documents\backend\django\solution\env\Lib\site-packages\cloudinary\templates with glob **/*.
DEBUG 2024-03-05 18:46:42,336 autoreload Watching dir C:\Users\bilim\Documents\backend\django\solution\SolutionEnterprise\shop\templates with glob **/*.
DEBUG 2024-03-05 18:46:42,336 autoreload Watching dir C:\Users\bilim\Documents\backend\django\solution\SolutionEnterprise\locale with glob **/*.mo.
DEBUG 2024-03-05 18:46:42,336 autoreload Watching dir C:\Users\bilim\Documents\backend\django\solution\env\Lib\site-packages\jazzmin\locale with glob **/*.mo.
DEBUG 2024-03-05 18:46:42,336 autoreload Watching dir C:\Users\bilim\Documents\backend\django\solution\env\Lib\site-packages\compressor\locale with glob **/*.mo.
DEBUG 2024-03-05 18:46:42,336 autoreload Watching dir C:\Users\bilim\Documents\backend\django\solution\SolutionEnterprise\shop\locale with glob **/*.mo.
DEBUG 2024-03-05 18:46:42,337 autoreload Watching dir C:\Users\bilim\Documents\backend\django\solution\env\Lib\site-packages\cloudinary\locale with glob **/*.mo.
